anime_id,title,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,producer,licensor,studio,genre,premiered year
5114,Fullmetal Alchemist: Brotherhood,TV,Manga,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",24 min. per ep.,R - 17+ (violence & profanity),9.25,733592,1.0,4,1199091,106895,Spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",2009
28977,Gintama°,TV,Manga,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",24 min. per ep.,R - 17+ (violence & profanity),9.15,71751,3.0,383,198744,5668,Spring 2015,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",2015
9253,Steins;Gate,TV,Visual novel,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",24 min. per ep.,PG-13 - Teens 13 or older,9.14,563857,5.0,8,1010330,92423,Spring 2011,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,"Thriller, Sci-Fi",2011
9969,Gintama&#039;,TV,Manga,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",24 min. per ep.,PG-13 - Teens 13 or older,9.11,92025,7.0,342,215527,4549,Spring 2011,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",,Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",2011
11061,Hunter x Hunter (2011),TV,Manga,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",23 min. per ep.,PG-13 - Teens 13 or older,9.11,403377,8.0,35,720920,64375,Fall 2011,"VAP, Nippon Television Network, Shueisha",Viz Media,Madhouse,"Action, Adventure, Super Power, Shounen",2011
35180,3-gatsu no Lion 2nd Season,TV,Manga,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",25 min. per ep.,PG-13 - Teens 13 or older,9.1,30779,9.0,990,85744,2257,Fall 2017,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy&#039;s Factory",Aniplex of America,Shaft,"Drama, Game, Seinen, Slice of Life",2017
15417,Gintama&#039;: Enchousen,TV,Manga,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",24 min. per ep.,PG-13 - Teens 13 or older,9.07,63468,10.0,685,123572,1509,Fall 2012,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",,Sunrise,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",2012
34096,Gintama.,TV,Manga,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",24 min. per ep.,PG-13 - Teens 13 or older,9.02,40441,13.0,934,91695,1237,Winter 2017,"TV Tokyo, Aniplex, Dentsu, Shueisha",,Bandai Namco Pictures,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",2017
35247,Owarimonogatari 2nd Season,TV,Light novel,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",22 min. per ep.,R - 17+ (violence & profanity),9.02,42842,13.0,762,113928,2432,Summer 2017,"Aniplex, Kodansha",Aniplex of America,Shaft,"Comedy, Mystery, Supernatural, Vampire",2017
4181,Clannad: After Story,TV,Visual novel,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",24 min. per ep.,PG-13 - Teens 13 or older,9.01,363239,14.0,55,607387,47380,Fall 2008,"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,"Slice of Life, Comedy, Supernatural, Drama, Romance",2008
